"No 및 소계","1차사업소","2차사업소","3차사업소","4차사업소","사용량","사용금액","사용량","사용금액","사용량","사용금액"
"83","강원본부","태백전력지사","","","85342","15222040","0","0","0","0"
"84","강원본부","철원지사","","","17347","3046020","0","0","0","0"
"85","강원본부","홍천지사","","","88261","11775400","0","0","2096.48","308457"
"86","강원본부","원주지사","","","88770","11753470","0","0","3630.79","526000"
"87","강원본부","화천지사","","","9899","1055780","0","0","0","0"
"88","강원본부","양구지사","","","77025","9933810","0","0","0","0"
"89","강원본부","인제지사","","","35448","5014940","0","0","0","0"
"90","강원본부","횡성지사","","","35252","3183100","0","0","0","0"
"91","강원본부","강릉특별지사","","","221271","24866280","0","0","1372.38","181576"
"92","강원본부","태백지사","","","65471","6370890","0","0","0","0"
"93","강원본부","태백지사","고객지원팀","","4675","522770","0","0","0","0"
"94","강원본부","삼척지사","","","78242","7721280","0","0","0","0"
"95","강원본부","속초지사","","","47570","5185570","0","0","0","0"
"96","강원본부","영월지사","","","50778","5377470","0","0","0","0"
"97","강원본부","영월지사","고객지원팀","","0","95790","0","0","0","0"
"98","강원본부","평창지사","","","55892","7821600","0","0","450.77","57880"
"99","강원본부","강릉전력지사","","","165128","24009310","0","0","0","0"
"100","강원본부","동해지사","","","49835","6270870","0","0","0","0"
"101","강원본부","양양지사","","","29051","3039820","0","0","0","0"
"102","강원본부","고성지사","","","33913","3453310","0","0","0","0"
"103","강원본부","전력사업처","","","3255","134680","0","0","1058.48","143796"
"104","강원본부","전력관리처","","","7109","1358440","0","0","0","0"
"105","강원본부","기획관리실","","","322411","35955090","0","0","0","0"
"강원본부 소계","","","","","1640532","205028830","0","0","8608.9","1217709"
"106","속초연수원","","","","294437","38918770","0","0","0","0"
"속초연수원 소계","","","","","294437","38918770","0","0","0","0"
"107","충북본부","청주전력지사","","","17523","4234850","0","0","0","0"
"108","충북본부","보은지사","","","37526","4161390","0","0","0","0"
"109","충북본부","진천지사","","","95717","11215970","0","0","1326.2","185290"
"110","충북본부","동청주지사","","","99866","11961840","0","0","893.08","118075"
"111","충북본부","충주지사","","","111595","11893340","0","0","4436.17","594281"
"112","충북본부","증평괴산지사","","","74452","8548480","0","0","867.82","112154"
"113","충북본부","음성지사","","","54065","7047090","0","0","0","0"
"114","충북본부","제천지사","","","91955","11848820","9774","1261980","0","0"
"115","충북본부","단양지사","","","32105","3582780","0","0","0","0"
"116","충북본부","옥천지사","","","7845","1070950","0","0","0","0"
"117","충북본부","영동지사","","","45981","5970460","0","0","679.79","104943"
"118","충북본부","전력사업처","","","23697","1363900","0","0","10050.59","1408455"
"119","충북본부","전력관리처","","","475943","72304040","0","0","0","0"
"120","충북본부","기획관리실","","","436188","53766180","0","0","0","0"
"121","충북본부","충주전력지사","","","161030","19963690","0","0","0","0"
"충북본부 소계","","","","","1765488","228933780","9774","1261980","18253.65","2523198"
"122","대전세종충남본부","","","","492327","54770710","0","0","0","0"
"123","대전세종충남본부","대전전력지사","","","55626","10265420","0","0","0","0"
